#                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name              accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#      ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
RGDD01000075.1_RG1990334   -          HD_Cas               HD_Cas         0.077    2.6   0.1      0.43    0.2   0.1   2.1   1   0   0   1   1   1   0 RG1990334
LTBA01000016.1_RG2477003   -          HD_Cas               HD_Cas          0.19    1.3   0.3       2.5   -2.3   0.3   2.2   1   1   0   1   1   1   0 RG2477003
RGDI01000003.1_RG1990038   -          HD_Cas               HD_Cas          0.19    1.3   0.0      0.97   -1.0   0.0   1.8   1   0   0   1   1   1   0 RG1990038
CAIJFF010000603.1_RG179391 -          HD_Cas               HD_Cas          0.73   -0.6   0.0       4.8   -3.2   0.0   1.4   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          HD_Cas               HD_Cas          0.73   -0.6   0.0       4.8   -3.2   0.0   1.4   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          HD_Cas               HD_Cas          0.73   -0.6   0.0       4.8   -3.2   0.0   1.4   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          HD_Cas               HD_Cas          0.73   -0.6   0.0       4.8   -3.2   0.0   1.4   1   0   0   1   1   1   0 RG179391
RGDI01000003.1_RG1990038 -          HEPN_1_C2C2          -                0.3    0.5   0.1         2   -2.1   0.1   1.7   1   0   0   1   1   1   0 RG1990038
LTBA01000016.1_RG2477003 -          HEPN_1_C2C2          -                  7  -66.9  94.3       1.4   -1.6   0.6   7.7   4   1   1   5   5   5   0 RG2477003
RGDD01000075.1_RG1990334 -          HEPN_2_C2C2          -               0.18    0.7   0.1      0.71   -1.2   0.1   1.7   1   0   0   1   1   1   0 RG1990334
LTBA01000016.1_RG2477003 -          HEPN_2_C2C2          -                  7  -53.0  83.6      0.76   -1.3   0.0   6.7   4   2   2   6   6   6   0 RG2477003
CAIJFF010000603.1_RG179391 -          HNH_Cas              HNH_Cas      4.3e-15   44.5   0.5   7.5e-15   43.7   0.5   1.3   1   0   0   1   1   1   1 RG179391
CAIKUN010000204.1_RG179391 -          HNH_Cas              HNH_Cas      4.3e-15   44.5   0.5   7.5e-15   43.7   0.5   1.3   1   0   0   1   1   1   1 RG179391
CAILXL010000619.1_RG179391 -          HNH_Cas              HNH_Cas      4.3e-15   44.5   0.5   7.5e-15   43.7   0.5   1.3   1   0   0   1   1   1   1 RG179391
CAIVOT010000198.1_RG179391 -          HNH_Cas              HNH_Cas      4.3e-15   44.5   0.5   7.5e-15   43.7   0.5   1.3   1   0   0   1   1   1   1 RG179391
RGDI01000003.1_RG1990038   -          HNH_Cas              HNH_Cas      9.3e-05   11.4   0.8   0.00026    9.9   0.8   1.7   1   0   0   1   1   1   1 RG1990038
RGDD01000075.1_RG1990334   -          HNH_Cas              HNH_Cas      0.00036    9.5   0.9    0.0012    7.8   0.9   1.9   1   0   0   1   1   1   1 RG1990334
LTBA01000016.1_RG2477003   -          HNH_Cas              HNH_Cas         0.14    1.2   0.0       2.3   -2.7   0.0   2.1   1   0   0   1   1   1   0 RG2477003
CAIJFF010000603.1_RG179391 -          RuvC_1_Cas9          RuvC_1_Cas9      0.26    0.4   0.0      0.69   -1.0   0.0   1.4   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          RuvC_1_Cas9          RuvC_1_Cas9      0.26    0.4   0.0      0.69   -1.0   0.0   1.4   1   0   0   1   1   1   0 RG179391
